figure,layout,source,idx,task,answer,flags,follow,iou_overlay,iou_nooverlay,iou_content_overlay,iou_content_nooverlay,n_correct,agree_overlay_exact,pred_teacher,pred_student_overlay,pred_student_nooverlay,margin_teacher,margin_student_overlay,margin_student_nooverlay,pct_kept,strip,ckpt_teacher,ckpt_student_overlay,ckpt_student_nooverlay
StreamGaze/figures/sg_T1O1N1_idx112_past_non_fixated_object_identification.png,StreamGaze/layout/sg_T1O1N1_idx112_past_non_fixated_object_identification.json,sg,112,past_non_fixated_object_identification,C,T1O1N1,0.3333,0.4058,0.3333,1.0,0.1817,3,0.5773,C,C,C,0.9067,0.999,0.9961,9.983,0 14 21 26 49 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx436_present_object_identification_easy.png,StreamGaze/layout/sg_T1O1N1_idx436_present_object_identification_easy.json,sg,436,present_object_identification_easy,B,T1O1N1,0.3333,0.3939,0.3333,1.0,0.178,3,0.5652,B,B,B,0.8412,0.9811,0.9695,9.983,0 14 21 23 49 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx205_present_future_action_prediction.png,StreamGaze/layout/sg_T1O1N1_idx205_present_future_action_prediction.json,sg,205,present_future_action_prediction,D,T1O1N1,0.3333,0.3596,0.3333,1.0,0.1597,3,0.529,D,D,D,0.7277,0.9994,0.8036,9.983,0 12 19 46 53 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx299_present_object_attribute_recognition.png,StreamGaze/layout/sg_T1O1N1_idx299_present_object_attribute_recognition.json,sg,299,present_object_attribute_recognition,D,T1O1N1,0.3312,0.3709,0.3312,1.0,0.1702,3,0.5411,D,D,D,0.9748,0.9846,0.9746,9.983,0 15 23 27 56 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx102_past_non_fixated_object_identification.png,StreamGaze/layout/sg_T1O1N1_idx102_past_non_fixated_object_identification.json,sg,102,past_non_fixated_object_identification,B,T1O1N1,0.3291,0.3442,0.3291,1.0,0.1824,3,0.5121,B,B,B,0.9715,0.9994,0.9997,9.983,0 15 23 36 53 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx492_present_object_identification_hard.png,StreamGaze/layout/sg_T1O1N1_idx492_present_object_identification_hard.json,sg,492,present_object_identification_hard,C,T1O1N1,0.3248,0.4202,0.3248,1.0,0.178,3,0.5918,C,C,C,0.9964,0.9998,0.9977,9.983,1 14 24 31 38 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx491_present_object_identification_hard.png,StreamGaze/layout/sg_T1O1N1_idx491_present_object_identification_hard.json,sg,491,present_object_identification_hard,D,T1O1N1,0.3248,0.4058,0.3248,1.0,0.1716,3,0.5773,D,D,D,0.9913,0.9972,0.9993,9.983,0 2 12 24 38 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx38_past_gaze_sequence_matching.png,StreamGaze/layout/sg_T1O1N1_idx38_past_gaze_sequence_matching.json,sg,38,past_gaze_sequence_matching,A,T1O1N1,0.3206,0.3986,0.3206,1.0,0.1817,3,0.57,A,A,A,0.9356,0.9996,0.9828,9.983,0 14 21 26 49 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx31_past_gaze_sequence_matching.png,StreamGaze/layout/sg_T1O1N1_idx31_past_gaze_sequence_matching.json,sg,31,past_gaze_sequence_matching,D,T1O1N1,0.3185,0.3893,0.3185,1.0,0.1667,3,0.5604,D,D,D,0.9659,0.9998,0.9974,9.983,0 11 24 27 33 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
StreamGaze/figures/sg_T1O1N1_idx176_present_future_action_prediction.png,StreamGaze/layout/sg_T1O1N1_idx176_present_future_action_prediction.json,sg,176,present_future_action_prediction,A,T1O1N1,0.3164,0.3686,0.3164,1.0,0.1716,3,0.5386,A,A,A,0.9521,0.9978,0.9727,9.983,0 13 25 36 48 63,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_kd_selection_SGonly_nooverlay/best.pth
