item,idx,task,answer,teacher_sheet,student_sheet,pred_teacher,pred_student,ok_teacher,ok_student,margin_teacher,margin_student,recall_traj,recall_P,recall_S,iou_kept,stem,window_end,evidence_gap,episodes_in_window,conc_teacher,conc_student,pct_kept,ckpt_teacher,ckpt_vit_lora,ckpt_student
sg_idx176_present_future_action_prediction,176,present_future_action_prediction,A,M1_teacher/sheets/sg_idx176_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx176_present_future_action_prediction.png,A,A,True,True,0.9521,0.7419,0.4928,0.5029,0.5623,0.3358,OP01-R02-TurkeySandwich,121.1,217.78,1,0.1901,0.1408,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx29_past_gaze_sequence_matching,29,past_gaze_sequence_matching,B,M1_teacher/sheets/sg_idx29_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx29_past_gaze_sequence_matching.png,B,B,True,True,0.4074,0.3126,0.4638,0.4739,0.5486,0.3104,OP03-R07-Pizza,421.7,3.88,2,0.1838,0.1475,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx98_past_non_fixated_object_identification,98,past_non_fixated_object_identification,A,M1_teacher/sheets/sg_idx98_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx98_past_non_fixated_object_identification.png,A,A,True,True,0.9257,0.9646,0.4372,0.4601,0.5442,0.2987,OP03-R07-Pizza,216.3,1.78,1,0.2136,0.1677,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx365_present_object_identification_easy,365,present_object_identification_easy,A,M1_teacher/sheets/sg_idx365_present_object_identification_easy.png,ViT-KD_raw_video/sheets/sg_idx365_present_object_identification_easy.png,A,A,True,True,0.7602,0.5758,0.4324,0.4681,0.5514,0.3054,OP01-R01-PastaSalad,876.2,6.88,5,0.1889,0.1687,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx301_present_object_attribute_recognition,301,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx301_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx301_present_object_attribute_recognition.png,D,D,True,True,0.97,0.4359,0.5193,0.4993,0.571,0.3325,OP03-R01-PastaSalad,410.8,3.12,6,0.1632,0.13,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx173_present_future_action_prediction,173,present_future_action_prediction,C,M1_teacher/sheets/sg_idx173_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx173_present_future_action_prediction.png,C,C,True,True,0.9903,0.8719,0.3816,0.4609,0.5536,0.2993,OP01-R01-PastaSalad,412.8,387.82,4,0.1994,0.1889,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx21_past_gaze_sequence_matching,21,past_gaze_sequence_matching,A,M1_teacher/sheets/sg_idx21_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx21_past_gaze_sequence_matching.png,A,A,True,True,0.9929,0.647,0.4734,0.479,0.5529,0.3148,OP03-R02-TurkeySandwich,294.7,3.13,2,0.1775,0.1323,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx382_present_object_identification_easy,382,present_object_identification_easy,A,M1_teacher/sheets/sg_idx382_present_object_identification_easy.png,ViT-KD_raw_video/sheets/sg_idx382_present_object_identification_easy.png,A,A,True,True,0.8413,0.4772,0.4106,0.4572,0.5464,0.2962,OP01-R06-GreekSalad,574.5,4.92,2,0.1873,0.1599,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx205_present_future_action_prediction,205,present_future_action_prediction,D,M1_teacher/sheets/sg_idx205_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx205_present_future_action_prediction.png,D,D,True,True,0.7474,0.429,0.4903,0.4899,0.5638,0.3242,OP03-R01-PastaSalad,279.8,91.32,4,0.1645,0.13,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx0_past_gaze_sequence_matching,0,past_gaze_sequence_matching,C,M1_teacher/sheets/sg_idx0_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx0_past_gaze_sequence_matching.png,C,C,True,True,0.996,0.7314,0.4106,0.45,0.529,0.2902,OP01-R01-PastaSalad,793.8,6.83,4,0.1959,0.1604,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx67_past_non_fixated_object_identification,67,past_non_fixated_object_identification,C,M1_teacher/sheets/sg_idx67_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx67_past_non_fixated_object_identification.png,C,C,True,True,0.722,0.9436,0.4106,0.4862,0.5514,0.3211,OP01-R02-TurkeySandwich,116.1,1.57,0,0.1947,0.1596,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx281_present_object_attribute_recognition,281,present_object_attribute_recognition,D,M1_teacher/sheets/sg_idx281_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx281_present_object_attribute_recognition.png,D,D,True,True,0.9488,0.5996,0.4565,0.4826,0.5674,0.3179,OP01-R05-Cheeseburger,646.0,5.21,7,0.1685,0.1315,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx489_present_object_identification_hard,489,present_object_identification_hard,D,M1_teacher/sheets/sg_idx489_present_object_identification_hard.png,ViT-KD_raw_video/sheets/sg_idx489_present_object_identification_hard.png,D,D,True,True,0.8252,0.6839,0.4758,0.4812,0.5522,0.3166,OP03-R01-PastaSalad,736.3,5.99,11,0.1744,0.1247,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx498_present_object_identification_hard,498,present_object_identification_hard,C,M1_teacher/sheets/sg_idx498_present_object_identification_hard.png,ViT-KD_raw_video/sheets/sg_idx498_present_object_identification_hard.png,C,C,True,True,0.9291,0.4422,0.4155,0.4768,0.5428,0.3129,OP03-R06-GreekSalad,25.8,17.32,2,0.2004,0.1431,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx184_present_future_action_prediction,184,present_future_action_prediction,C,M1_teacher/sheets/sg_idx184_present_future_action_prediction.png,ViT-KD_raw_video/sheets/sg_idx184_present_future_action_prediction.png,C,C,True,True,0.507,0.4459,0.4082,0.4696,0.5558,0.3067,OP01-R05-Cheeseburger,200.5,27.46,2,0.1897,0.1593,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx64_past_non_fixated_object_identification,64,past_non_fixated_object_identification,C,M1_teacher/sheets/sg_idx64_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx64_past_non_fixated_object_identification.png,C,C,True,True,0.824,0.5629,0.4686,0.4877,0.5522,0.3223,OP01-R01-PastaSalad,73.5,1.08,1,0.1786,0.1233,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx469_present_object_identification_hard,469,present_object_identification_hard,D,M1_teacher/sheets/sg_idx469_present_object_identification_hard.png,ViT-KD_raw_video/sheets/sg_idx469_present_object_identification_hard.png,D,D,True,True,0.9741,0.827,0.401,0.4652,0.5471,0.303,OP01-R05-Cheeseburger,503.1,3.44,5,0.1684,0.1567,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx93_past_non_fixated_object_identification,93,past_non_fixated_object_identification,A,M1_teacher/sheets/sg_idx93_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx93_past_non_fixated_object_identification.png,A,A,True,True,0.7301,0.565,0.4444,0.4761,0.5572,0.3123,OP03-R04-ContinentalBreakfast,435.6,4.15,2,0.1972,0.1296,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx20_past_gaze_sequence_matching,20,past_gaze_sequence_matching,C,M1_teacher/sheets/sg_idx20_past_gaze_sequence_matching.png,ViT-KD_raw_video/sheets/sg_idx20_past_gaze_sequence_matching.png,C,C,True,True,0.6459,0.5635,0.4614,0.4797,0.5428,0.3154,OP03-R01-PastaSalad,368.2,2.93,4,0.1708,0.1238,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx73_past_non_fixated_object_identification,73,past_non_fixated_object_identification,C,M1_teacher/sheets/sg_idx73_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx73_past_non_fixated_object_identification.png,C,C,True,True,0.903,0.9375,0.3575,0.4507,0.5348,0.2908,OP01-R05-Cheeseburger,197.5,2.42,1,0.1977,0.1617,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx74_past_non_fixated_object_identification,74,past_non_fixated_object_identification,B,M1_teacher/sheets/sg_idx74_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx74_past_non_fixated_object_identification.png,B,B,True,True,0.9815,0.9806,0.3744,0.4587,0.5304,0.2975,OP01-R05-Cheeseburger,225.3,2.66,2,0.1812,0.1579,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx268_present_object_attribute_recognition,268,present_object_attribute_recognition,C,M1_teacher/sheets/sg_idx268_present_object_attribute_recognition.png,ViT-KD_raw_video/sheets/sg_idx268_present_object_attribute_recognition.png,C,C,True,True,0.9776,0.9016,0.4034,0.45,0.5261,0.2902,OP01-R01-PastaSalad,794.8,5.83,4,0.1832,0.1407,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx66_past_non_fixated_object_identification,66,past_non_fixated_object_identification,B,M1_teacher/sheets/sg_idx66_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx66_past_non_fixated_object_identification.png,B,B,True,True,0.6388,0.3942,0.3382,0.4551,0.521,0.2944,OP01-R01-PastaSalad,406.8,3.87,3,0.1751,0.1703,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
sg_idx76_past_non_fixated_object_identification,76,past_non_fixated_object_identification,C,M1_teacher/sheets/sg_idx76_past_non_fixated_object_identification.png,ViT-KD_raw_video/sheets/sg_idx76_past_non_fixated_object_identification.png,C,C,True,True,0.8388,0.8878,0.3937,0.4696,0.55,0.3067,OP01-R06-GreekSalad,160.8,1.49,1,0.1913,0.1414,9.99,/NHNHOME/VILAB/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/visionzip_complement_learned_SGonly_overlay/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p1_sg_raw/best.pth,/NHNHOME/WORKSPACE/26msit001_A/vilab_yj/trajgaze/TrajGazeMerge/checkpoints/vitkd_p2_sg_raw/epoch_01.pth
